in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,*,*,*,*,*,*,*,*,400,1797,14696570.26,2987123.55,0.2033
*,*,*,*,*,*,*,YES,*,313,1600,13320718.79,2416095.02,0.1814
*,*,*,*,*,NO,*,*,*,291,1501,12591024.61,2277466.16,0.1809
*,*,NO,*,*,*,*,*,*,370,1396,10563582.29,2667875.71,0.2526
*,*,*,*,*,NO,*,YES,*,239,1370,11616071.60,1911862.65,0.1646
*,*,*,*,YES,*,*,*,*,264,1352,11499542.33,2079400.52,0.1808
*,*,*,*,*,*,*,*,NO,3,1350,11388133.47,24348.55,0.0021
*,*,*,*,*,*,*,YES,NO,1,1249,10636831.59,9664.01,0.0009
*,*,*,*,YES,*,*,YES,*,219,1237,10653687.02,1779141.51,0.1670
*,*,NO,*,*,*,*,YES,*,289,1216,9309851.56,2140805.72,0.2300
*,*,*,*,*,*,NO,*,*,213,1177,10126620.37,1655729.65,0.1635
*,*,*,*,*,NO,*,*,NO,3,1170,10031356.66,24348.55,0.0024
*,*,*,*,YES,NO,*,*,*,195,1141,9961648.70,1632724.32,0.1639
YES,*,*,*,*,*,*,*,*,170,1131,10036941.96,1383228.61,0.1378
*,*,NO,*,*,NO,*,*,*,267,1129,8689829.24,2019463.80,0.2324
*,YES,*,*,*,*,*,*,*,185,1100,9136688.04,1467101.66,0.1606
*,*,*,*,*,NO,*,YES,NO,1,1098,9470270.23,9664.01,0.0010
*,*,*,*,YES,NO,*,YES,*,162,1056,9294979.06,1390270.26,0.1496
*,*,*,*,*,*,NO,YES,*,159,1049,9230747.50,1295772.34,0.1404
*,*,*,*,YES,*,*,*,NO,1,1047,9120366.34,5020.52,0.0006
*,YES,*,*,*,NO,*,*,*,173,1036,8673792.56,1366954.75,0.1576
YES,*,*,*,*,*,*,YES,*,129,1025,9274423.26,1110176.43,0.1197
