in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,*,*,*,*,*,*,*,*,7218,38725,273927698.95,44936410.73,0.1640
*,*,*,*,YES,*,*,*,*,6902,37851,267669426.04,42804442.24,0.1599
*,*,*,*,*,*,*,YES,*,5445,32836,240442125.75,35317041.69,0.1469
*,*,*,*,YES,*,*,YES,*,5235,32163,235542211.04,33886296.88,0.1439
*,*,*,*,*,*,NO,*,*,4880,31203,220382663.98,30619440.44,0.1389
YES,*,*,*,*,*,*,*,*,3310,30702,225840635.65,22423401.43,0.0993
*,*,*,*,YES,*,NO,*,*,4688,30663,216436823.98,29294498.29,0.1353
*,*,*,*,*,*,*,*,NO,26,30649,223414442.58,164081.26,0.0007
YES,*,*,*,YES,*,*,*,*,3162,30181,221881446.11,21332311.06,0.0961
*,*,*,*,YES,*,*,*,NO,24,30106,219371699.18,144753.23,0.0007
*,*,NO,*,*,*,*,*,*,6755,29534,200287823.29,41308996.34,0.2062
*,*,NO,*,YES,*,*,*,*,6452,28739,194663027.76,39286701.70,0.2018
*,*,*,YES,*,*,*,*,*,3367,27653,199012607.06,22231829.26,0.1117
*,*,*,YES,YES,*,*,*,*,3267,27299,196210379.36,21467959.56,0.1094
YES,*,*,*,*,*,*,*,NO,19,26931,200214428.64,131690.19,0.0007
*,*,*,*,*,*,*,YES,NO,19,26671,200326486.34,95033.79,0.0005
YES,*,*,*,YES,*,*,*,NO,17,26562,197377869.47,112362.17,0.0006
YES,*,*,*,*,*,*,YES,*,2536,26510,201246175.30,18044469.51,0.0897
*,*,*,*,YES,*,*,YES,NO,18,26220,196944084.62,85369.78,0.0004
YES,*,*,*,YES,*,*,YES,*,2436,26103,198085332.01,17276911.45,0.0872
*,*,*,*,*,*,NO,YES,*,3411,25939,190684175.30,22786024.98,0.1195
YES,*,*,*,*,*,NO,*,*,2359,25783,187650136.87,15797409.32,0.0842
*,*,*,*,*,*,NO,*,NO,23,25724,185922071.80,138968.53,0.0007
*,*,*,*,YES,*,NO,YES,*,3300,25545,187751248.79,22013173.05,0.1172
YES,*,*,*,YES,*,NO,*,*,2272,25453,185146047.91,15142249.93,0.0818
*,*,*,*,YES,*,NO,*,NO,21,25383,183337978.12,119640.51,0.0007
*,*,NO,*,*,*,*,YES,*,5101,24461,172154150.86,32481943.83,0.1887
*,*,*,YES,*,*,NO,*,*,2679,24272,173346756.47,17548244.56,0.1012
*,*,*,YES,YES,*,NO,*,*,2617,24040,171455118.40,17045227.16,0.0994
*,*,NO,*,YES,*,*,YES,*,4898,23852,167788195.34,31106880.56,0.1854
*,*,*,YES,*,*,*,*,NO,15,23781,173442802.45,92144.06,0.0005
YES,*,*,*,*,*,*,YES,NO,13,23580,180385739.19,71570.17,0.0004
*,*,*,YES,YES,*,*,*,NO,15,23535,171470789.50,92144.06,0.0005
YES,*,*,YES,*,*,*,*,*,1747,23419,172664459.43,12374305.63,0.0717
YES,*,*,*,YES,*,*,YES,NO,12,23276,178027201.12,61906.15,0.0003
*,*,*,YES,*,*,*,YES,*,2289,23207,172980158.00,16145623.68,0.0933
YES,*,*,YES,YES,*,*,*,*,1695,23184,170703362.18,11937099.80,0.0699
YES,*,*,*,*,*,NO,*,NO,16,23083,169516638.72,106577.47,0.0006
*,*,*,YES,YES,*,*,YES,*,2223,22918,170697171.56,15638004.74,0.0916
*,*,NO,*,*,*,NO,*,*,4492,22877,154048539.62,27624281.27,0.1793
YES,*,*,*,YES,*,NO,*,NO,14,22842,167671668.60,87249.44,0.0005
*,*,NO,*,YES,*,NO,*,*,4309,22401,150637752.25,26379924.81,0.1751
YES,*,NO,*,*,*,*,*,*,3016,22100,156336130.22,20020382.69,0.1281
*,*,*,*,*,*,NO,YES,NO,17,22039,164676515.69,81131.11,0.0005
*,*,NO,*,*,*,*,*,NO,24,22011,154038094.45,129045.90,0.0008
YES,*,*,*,*,*,NO,YES,*,1717,21930,165207789.26,12235800.33,0.0741
*,*,*,*,YES,*,NO,YES,NO,16,21762,162556452.43,71467.10,0.0004
YES,*,*,*,YES,*,NO,YES,*,1665,21683,163302836.97,11830868.02,0.0724
YES,*,NO,*,YES,*,*,*,*,2872,21639,152877411.13,18961685.59,0.1240
*,*,NO,*,YES,*,*,*,NO,22,21532,150519154.57,109717.88,0.0007
*,*,*,*,*,NO,*,*,*,3334,21430,163312607.21,22423232.92,0.1373
YES,*,*,YES,*,*,*,*,NO,11,21383,158265859.47,68413.88,0.0004
YES,*,*,YES,YES,*,*,*,NO,11,21204,156775029.95,68413.88,0.0004
*,NO,*,*,*,*,*,*,*,5643,21199,140841453.42,33497208.11,0.2378
*,*,*,YES,*,*,NO,*,NO,15,21196,153225800.00,92144.06,0.0006
*,*,*,YES,YES,*,NO,*,NO,15,21032,151879525.60,92144.06,0.0006
YES,*,*,YES,*,*,NO,*,*,1415,20942,152601019.41,9844958.48,0.0645
*,*,*,*,YES,NO,*,*,*,3171,20853,159044899.58,21316410.47,0.1340
YES,*,*,YES,YES,*,NO,*,*,1385,20784,151255498.03,9569495.98,0.0633
*,NO,*,*,YES,*,*,*,*,5428,20776,137955363.83,32067423.64,0.2324
*,*,*,YES,*,*,*,YES,NO,10,20518,154113651.76,43970.65,0.0003
*,*,*,YES,YES,*,*,YES,NO,10,20301,152398172.45,43970.65,0.0003
*,*,*,YES,*,*,NO,YES,*,1761,20210,149725689.63,12478629.92,0.0833
YES,*,*,YES,*,*,*,YES,*,1240,20035,152339466.92,9368532.00,0.0615
*,*,*,YES,YES,*,NO,YES,*,1729,20030,148262159.22,12206984.79,0.0823
YES,*,*,*,*,*,NO,YES,NO,11,19930,150974449.31,57667.49,0.0004
YES,*,*,YES,YES,*,*,YES,*,1204,19841,150725532.00,9069190.33,0.0602
YES,*,*,*,YES,*,NO,YES,NO,10,19736,149481595.93,48003.48,0.0003
YES,*,*,YES,*,*,NO,*,NO,11,19291,141157373.63,68413.88,0.0005
*,*,*,YES,*,NO,*,*,*,2597,19212,148890613.01,18020247.50,0.1210
YES,*,*,YES,YES,*,NO,*,NO,11,19166,140103062.21,68413.88,0.0005
*,*,*,YES,YES,NO,*,*,*,2532,18952,146817358.29,17541369.70,0.1195
*,*,NO,*,*,*,*,YES,NO,18,18722,135469775.13,85275.56,0.0006
YES,*,NO,*,*,*,*,*,NO,18,18697,133669764.13,106413.07,0.0008
