in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,*,*,*,*,*,*,*,*,*,7218,38725,"273,927,699","44,936,411",0.1640
*,*,*,*,YES,*,*,*,*,*,6902,37851,"267,669,426","42,804,442",0.1599
*,*,*,*,*,*,*,*,*,YES,6818,36928,"259,231,129","41,949,287",0.1618
*,*,*,*,YES,*,*,*,*,YES,6638,36499,"256,169,884","40,725,042",0.1590
*,*,*,*,*,*,*,YES,*,*,5445,32836,"240,442,126","35,317,042",0.1469
*,*,*,*,YES,*,*,YES,*,*,5235,32163,"235,542,211","33,886,297",0.1439
*,*,*,*,*,*,*,YES,*,YES,5132,31236,"227,121,407","32,900,947",0.1449
*,*,*,*,*,*,NO,*,*,*,4880,31203,"220,382,664","30,619,440",0.1389
*,*,*,*,YES,*,*,YES,*,YES,5016,30926,"224,888,524","32,107,155",0.1428
YES,*,*,*,*,*,*,*,*,*,3310,30702,"225,840,636","22,423,401",0.0993
*,*,*,*,YES,*,NO,*,*,*,4688,30663,"216,436,824","29,294,498",0.1353
*,*,*,*,*,*,*,*,NO,*,26,30649,"223,414,443","164,081",0.0007
YES,*,*,*,YES,*,*,*,*,*,3162,30181,"221,881,446","21,332,311",0.0961
*,*,*,*,YES,*,*,*,NO,*,24,30106,"219,371,699","144,753",0.0007
*,*,*,*,*,*,NO,*,*,YES,4667,30026,"210,256,044","28,963,711",0.1378
*,*,*,*,YES,*,NO,*,*,YES,4552,29744,"208,215,963","28,156,036",0.1352
YES,*,*,*,*,*,*,*,*,YES,3140,29571,"215,803,694","21,040,173",0.0975
*,*,NO,*,*,*,*,*,*,*,6755,29534,"200,287,823","41,308,996",0.2062
YES,*,*,*,YES,*,*,*,*,YES,3058,29306,"213,823,315","20,430,296",0.0955
*,*,*,*,*,*,*,*,NO,YES,23,29299,"212,026,309","139,733",0.0007
*,*,*,*,YES,*,*,*,NO,YES,23,29059,"210,251,333","139,733",0.0007
*,*,NO,*,YES,*,*,*,*,*,6452,28739,"194,663,028","39,286,702",0.2018
*,*,NO,*,*,*,*,*,*,YES,6385,28138,"189,724,241","38,641,121",0.2037
*,*,NO,*,YES,*,*,*,*,YES,6213,27751,"186,984,737","37,489,616",0.2005
*,*,*,YES,*,*,*,*,*,*,3367,27653,"199,012,607","22,231,829",0.1117
*,*,*,YES,YES,*,*,*,*,*,3267,27299,"196,210,379","21,467,960",0.1094
YES,*,*,*,*,*,*,*,NO,*,19,26931,"200,214,429","131,690",0.0007
*,*,*,*,*,*,*,YES,NO,*,19,26671,"200,326,486","95,034",0.0005
*,*,*,YES,*,*,*,*,*,YES,3213,26647,"189,887,291","20,901,532",0.1101
YES,*,*,*,YES,*,*,*,NO,*,17,26562,"197,377,869","112,362",0.0006
YES,*,*,*,*,*,*,YES,*,*,2536,26510,"201,246,175","18,044,470",0.0897
*,*,*,YES,YES,*,*,*,*,YES,3149,26453,"188,373,044","20,428,508",0.1084
*,*,*,*,YES,*,*,YES,NO,*,18,26220,"196,944,085","85,370",0.0004
YES,*,*,*,YES,*,*,YES,*,*,2436,26103,"198,085,332","17,276,911",0.0872
YES,*,*,*,*,*,*,*,NO,YES,16,25986,"191,671,387","107,342",0.0006
*,*,*,*,*,*,NO,YES,*,*,3411,25939,"190,684,175","22,786,025",0.1195
YES,*,*,*,YES,*,*,*,NO,YES,16,25806,"190,336,006","107,342",0.0006
YES,*,*,*,*,*,NO,*,*,*,2359,25783,"187,650,137","15,797,409",0.0842
*,*,*,*,*,*,NO,*,NO,*,23,25724,"185,922,072","138,969",0.0007
*,*,*,*,YES,*,NO,YES,*,*,3300,25545,"187,751,249","22,013,173",0.1172
YES,*,*,*,*,*,*,YES,*,YES,2407,25485,"191,971,752","16,934,293",0.0882
YES,*,*,*,YES,*,NO,*,*,*,2272,25453,"185,146,048","15,142,250",0.0818
*,*,*,*,*,*,*,YES,NO,YES,18,25422,"189,689,655","85,370",0.0005
*,*,*,*,YES,*,NO,*,NO,*,21,25383,"183,337,978","119,641",0.0007
YES,*,*,*,YES,*,*,YES,*,YES,2352,25289,"190,486,464","16,515,240",0.0867
*,*,*,*,YES,*,*,YES,NO,YES,18,25236,"188,312,586","85,370",0.0005
